,data,ministro,discurso_posse,link_bio,link_discurso
57,12/02/1892,Inocêncio Serzedello Corrêa,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/345,NA
58,30/11/1891,Fernando Lobo Leite Pereira,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/346,NA
59,26/02/1891,Justo Pereira Leite Chermont,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/348,NA
60,15/11/1889,Quintino Antônio Ferreira de Sousa Bocaiúva,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/349,NA
61,07/06/1889,José Francisco Diana,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/350,NA
62,15/03/1888,Rodrigo Augusto da Silva,NA,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/433,NA
63,10/03/1888,Antonio da Silva Prado,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/351,NA
64,20/08/1885,João Mauricio Wanderley,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/352,NA
65,06/05/1885,João Lustosa da Cunha Paranaguá,NA,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/434,NA
66,22/12/1884,Manoel Pinto de Souza Dantas,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/353,NA
67,06/06/1884,João da Matta Machado,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/354,NA
68,24/05/1883,Francisco de Carvalho Soares Brandão,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/355,NA
69,03/07/1882,Lourenço Cavalcanti de Albuquerque,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/356,NA
70,21/01/1882,Filippe Franco de Sá,NA,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/435,NA
71,03/11/1881,Franklin Americo de Menezes Doria,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/357,NA
72,28/03/1880,Pedro Luiz Pereira de Souza,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/358,NA
73,04/06/1879,Antonio Moreira de Barros,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/359,NA
74,08/02/1879,João Lins Vieira Cansansão de Sinimbú,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/360,NA
75,07/02/1878,Domingos de Souza Leão,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/361,NA
76,05/01/1878,Carlos Leoncio de Carvalho,NA,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/436,NA
77,15/02/1877,Diogo Velho Cavalcanti de Albuquerque,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/362,NA
78,25/06/1875,João Mauricio Wanderley,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/363,NA
79,28/01/1873,Carlos Carneiro de Campos,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/364,NA
80,07/03/1871,Manoel Francisco Correa,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/365,NA
81,29/09/1870,José Antonio Pimenta Bueno,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/366,NA
82,30/08/1870,José Maria da Silva Paranhos,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/367,NA
83,01/02/1869,João Mauricio Wanderley,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/363,NA
84,14/04/1868,João Silveira de Souza,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/368,NA
85,09/12/1867,João Lustosa da Cunha Paranaguá,NA,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/434,NA
86,29/10/1866,Antonio Coelho de Sá e Albuquerque,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/369,NA
